keyword,remarks,
BRGY,Welcome to eBayanihan!,
BRGY,Welcome to eBayanihan!,
FLOOD,,
BRGY,Welcome to eBayanihan! :),
BROWNOUT,AFTERNOON BROWNOUT HERE.,
FLOOD,,
EARTHQUAKE,Welcome to Ebayanihan,
RESCUE,So coools here.,
FLOOD,,
EARTHQUAKE,Help us. Please.,
RESCUE,help help help.,
BRIDGE,Hello. From Cebu,
FLOOD,HEAD LEVEL,
FLOOD,HEAD LEVEL,
FLOOD,HEAD LEVEL,
FLOOD,knee deep flood,
FLOOD,HEAD LEVEL,
FLOOD,HEAD LEVEL,
BRGY,Launch of eBayanihan,
FLOOD,HEAD LEVEL,
FLOOD,HEAD LEVEL,
FLOOD,HEAD LEVEL,
FLOOD,HEAD LEVEL,
FLOOD,HEAD LEVEL,
FLOOD,HEAD LEVEL,
ROAD,heavy traffic in katipunan,
ROAD,heavy traffic in katipunan,
FLOOD,HEAD LEVEL,
FLOOD,HEAD LEVEL,
BRGY,TEMP IS 29 DEG IN KATIP,
BRGY,29 degrees in katipunan,
ROAD,ROAD CLOSED IN KATIP,
FLOOD,KNEE DEEP,
FLOOD,head level flood,
ROAD,Road closed in  katipunan,
FLOOD,flooding in Ateneo,
FLOOD,flood in CP Garcia,
EARTHQUAKE,Happening now.,
BRGY,TEMP IS 36 DEG IN KATIP,
EARTHQUAKE,Happening now.,
ROAD,ROAD CLOSED IN KATIP,
ROAD,HEAVY TRAFFIC IN KATIP,
BRGY,Welcome to eBayanihan,
RAIN,Rain are coming!! _��_��_��,
ACCIDENT,,
BROWNOUT,Fluctuating electric current,
RESCUE,,
BROWNOUT,,
BROWNOUT,Awan Kuryente mi..,
BROWNOUT,No current 2 days now,
BROWNOUT,AFTERNOON BROWNOUT HERE.,
RAIN,Clear sky here.,
FIRE,Heat Wave,
RAIN,QUICK HEAVY RAIN,
RAIN,,
RAIN,slight rainfall,
RAIN,No more rain,
RAIN,No rain,
BRGY,Sunny Weather,
RAIN,Raining hard here in Ateneo De Manila Univeristy,
FLOOD,Flood on the 2nd floor of Faura Building,
RAIN,rainy time,
RAIN,Heavy rains!,
BROWNOUT,,
RAIN,STRONG RAIN,
RAIN,STRONG RAIN WITH THUNDERSTORM,
RAIN,HEAVY RAIN WITH VERY FREQUENT THUNDER STRIKES,
RAIN,VERY HEAVY RAIN!!!,
ROAD,TRAFFIC AND STRONG RAIN WITH THUNDERSTORM,
RAIN,Heavy rain at the campus,
ROAD,TRAFFIC AND STRONG RAIN WITH THUNDERSTORM,
RAIN,Heavy rains with thunderstorms,
RAIN,Heavy rain,
BRGY,Rain ended,
RAIN,,
RAIN,,
BRGY,Early morning fog.,
BRGY,Cloudy skies,
RAIN,Started raining now,
RAIN,RAINING HARD WITH SOME THUNDER,
BRGY,windy afternoon,
BRGY,No rain,
RAIN,STRONG RAIN,
RAIN,strong rain here in nlex sta rita balun,
RAIN,,
RAIN,,
RAIN,Moderate Rainfal,
ROAD,TRAFFIC,
RAIN,Raining hard here,
RAIN,drizzling,
BRGY,traffic ,
BRGY,Sun is out,
RAIN,It's not raining here.,
RAIN,Clear sky,
RAIN,It's not raining here,
BRGY,Clear sunny skies,
RAIN,Still sunny here. :),
BRGY,SUNNY DAY,
BRGY,SUNNY DAY,
BRGY,CLOUDY,
BRGY,SUNNY DAY,
BRGY,Today is mostly cloudy,
FIRE,"JUST IN: Fire at residential area in Grace Park, Caloocan now on 2nd alarm | via @_jamesagustin",
ACCIDENT,ADVISORY: Vehicular accident at Quirino Ave. near Plaza Dilao NB involving 2 vehicles as of 3:13 PM. 1 lane occupied.Ten-4. #mmda,
BRGY,sunny day,
BRGY,lakas ng ulan dito sa amin,
RAIN,Raining,
RAIN,Started raining now,
RAIN,HEAVY RAIN,
RAIN,THUNDERSTORM,
RAIN,Stopped raining. All sunny now.,
BRGY,SUNNY,
BRGY,sunny day :),
ROAD,TRAFFIC,
BRGY,great weather :),
BRGY,Sunny today,
BRGY,Cloudy in Tagaytay but cool weather so far.,
WIND,,
BRGY,Fine Weather,
CRIME,"Shot Dead - A Member of 28th IB Phil Army, at Badas Mati City . 5:15pm . 06-27-15",
RAIN,,
RAIN,Rain,
BRGY,EBAYANIHAN MEETING WITH RAPPLER,
RAIN,STARTED RAINING,
RAIN,Started raining,
RAIN,sobrang lakas ng ulan dito,
BRGY,SUNNY DAY HERE,
BRGY,GLOOMY DAY,
BRGY,CLOUDY,
BRGY,Humid and cloudy,
BRGY,Slight drizzling,
BRGY,Raining hard,
BRGY,"Raining, really hard now",
RAIN,RAIN BEGINNING TO LET UP NOW,
RAIN,STARTED RAINING,
RAIN,Rain clouds,
RAIN,DRIZZLING,
BRGY,Sunny Day today ^_^,
ACCIDENT,"6-car pile up in SB Katipunan, near Regis!",
RAIN,Strong rains right now,
RAIN,Heavy rain,
RAIN,Heavy rain with occasional thunder and lightning,
RAIN,Rains stopped already,
RAIN,Continues rain since morning ,
BRGY,"For #EgayPH reports, select  TS Egay 2015  event so we can track reports for this event. Thank you!",
BRGY,You can also use #EgayPH or #Egay when you report in your social media accounts.,
RAIN,Local Weather Status,
RAIN,Stopped raining now but still cloudy,
RAIN,STARTED RAINING HARD,
FLOOD,GUTTER DEEP,
RAIN,NOT RAINING,
RAIN,THUNDERSTORM,
RAIN,STARTED RAINING,
RAIN,STARTED RAINING,
RAIN,INTENSE RAIN,
FLOOD,ANKLE HIGH FLOOD,
RAIN,HUMINA NA ANG ULAN. UMAAMBON NA LANG,
BROWNOUT,ormoc city whole day black out,
RESCUE,Stranded at the middle of flood,
RAIN,LIGHT RAIN BUT RELATIVELY STRONG WIND. MIND THE USE OF UMBRELLAS,
RAIN,CONTINUOUS MODERATE RAIN,
RAIN,,
FLOOD,RESIDENTS TRAPPED BY FLOOD DUE TO HEAVY RAINFALL,
RAIN,HINDI PA RIN HUMIHINTO ANG ULAN DITO,
RAIN,Still raininh,
RAIN,,
FLOOD,,
EARTHQUAKE,earthquake,
EARTHQUAKE,,
RAIN,,
RAIN,Light rains,
BRGY,"Update from Bauang: SITREP as of 5:00pm of July 5, 2015. FLOODED BRGY. 1. PUDOC 2. BACCUIT NORTE 3. PARIAN OESTE 4. Payocpoc Norte Oeste 5.PUGO 6.CENTRAL EAST 7. PARIAN ESTE",
EVACUATE,"From Bauang MDRRMC: Evacuation PLace: 1. Calumbaya Elem School 2. Brgy Hall 3. Calumbaya Elem School 4. BAPTISH CHURCH 5. MISSION Center , pugo ,BLU 6. House of Relatives 7. Parian Elem School",
RAIN,Continuous moderate rainfall,
BRGY,Rain stopped,
RAIN,Moderate to heavy rainfall,
RAIN,Non-stop rain,
BRGY,Happening now.,
BRGY,Happening now.,
BRGY,Sunny now,
BRGY,"Again, it's sunny out here",
BRGY,Traffic smooth,
BRGY,Traffic smooth,
BRGY,Moving traffic along Katipunan,
BRGY,Sunny weather,
BRGY,Clear skies in Tagaytay,
BRGY,Cloudy,
BRGY,Cloudy,
BRGY,Sunny skies,
BRGY,No traffic,
BRGY,Cloudy day today,
BRGY,Mahanging umaga,
BRGY,Traffic,
BRGY,Interior barangays closed due to traffic underwater.,
BROWNOUT,All barangays of the municipality.,
RAIN,Raining here at LST,
RAIN,Continuous rain experienced in Ateneo campus,
BRGY,HEAVY RAIN,
RAIN,rain rain rain,
RAIN,STRONG RAIN SINCE MORNING. RAINING SINCE YESTERDAY,
BRGY,Rain stopped here in Novaliches,
RAIN,Rain stopped.,
BRGY,Classes suspended for ADMU GS and HS,
RAIN,Still raining,
RAIN,Rain is light here in Ateneo,
RAIN,Raining again,
BRGY,RAIN STOPPED,
BRGY,No rain here in Nova,
RAIN,STOPPED RAINING,
RAIN,Cold nights and no rain.,
RAIN,"No Rain. Finally, it stopped.",
RAIN,Gloomy Skies this morning,
BRGY,Sunny,
BRGY,Sunny Day,
RAIN,"Stopped heavy rains for a while, at least at 3 PM now in my location",
RAIN,Rain,
RAIN,"Raining again, moderate to heavy",
RAIN,started raining in Ateneo,
RAIN,Here comes the rain! �_U�_U�_U�,
RAIN,Rain,
RAIN,,
RAIN,Heavy rain,
RAIN,Sudden rain!!,
RAIN,STRONG RAIN,
FLOOD,ANKLE HIGH FLOOD,
FLOOD,Flooding along C.P. Garcia,
RAIN,rain got stronger again,
RAIN,STRONG RAINS AGAIN CAUSING HEAVY TRAFFIC,
RAIN,Started raining again,
RAIN,Moderately heavy rain in campus,
RAIN,Rain stopped just now,
RAIN,Light Rains,
BRGY,No classes and work today in Ateneo,
RAIN,Heavy rain here in Novaliches _��_��_��,
RAIN,Heavy Rains,
RAIN,Raining in Quezon City ,
RAIN,Monsoons bring non-stop heavy rains,
RAIN,continuous rain!,
RAIN,Rain has started to get slower,
RAIN,,
RAIN,Not raining  anymore,
RAIN,Sudden downpour,
RAIN,RAINING AGAIN,
RAIN,Heavy rainfall in Ortigas area,
RAIN,On and off rainshowers,
BRGY,Cloudy skies,
BRGY,Bipolar rain pattern,
RAIN,"Dark clouds, might rain again. ",
RAIN,"Cloudy skies, looks like rain",
RAIN,"On and off rainshowers, occasional thunder, gloomy skies",
RAIN,"sudden downpour again, but it receded quickly",
RAIN,Cloudy skies,
RAIN,,
RAIN,"light rains affecting the vicinity of Masinloc, ZAmbales",
RAIN,rain,
RAIN,Rain,
RAIN,Light to moderate rains, cloudy
RAIN,"Rec'd from Digna Randoy Nebrida: bgy. sta. lucia community in district 5 QC yellow alert level..... preemptive evacuation is advise specially  to those who are in low lying areas, water ways and  near tullahan river......",
BRGY,Rain clouds,
RAIN,FAT RAINDROPS,
RAIN,LIGHT RAINS,
RAIN,Rain stopped. =),
RAIN,Started raining again ,
RAIN,Started raining again,
RAIN,Rain got weaker ,
RAIN,Light to moderate rain here ��ӕ��ӕ��ӕ�,
RAIN,Classes in QC are suspended until Friday,
RAIN,,
RAIN,Moderate rain,
RAIN,Rain is light to moderate now,
BRGY,No rain now.,
BRGY,Light to moderate rain here in nova,
BRGY,Light Rain in Fairview,
RAIN,,
BRGY,Maraming tao sa cubao mrt,
BRGY,Moderate Rains,
BRGY,Sunny in Cebu,
RAIN,"Rains on and off, windy and gloomy ",
BRGY,REGIONAL DRR COMMUNICATIONS SUMMIT: ICT  BAYANIHAN ,
BRGY,rainy murning,
RAIN,Heavy rainfall over Ortigas area,
RAIN,still raining,
RAIN,,
BRGY,Cloudy,
RAIN,It has begun to rain again,
BRGY,Follow eBayanihan on Twitter (https://twitter.com/eBayanihanTeam) and on Instagram (https://instagram.com/ebayanihan/)!,
RAIN,START OF RAIN,
WIND,Windy with dark clouds,
RAIN,raining,
BRGY,No rain,
RAIN,,
BRGY,Yay rain,
RAIN,,
